n,comparisons,time_ns
4990000,21,2220
5000000,21,2206
5010000,21,2265
5020000,21,2227
5030000,21,2283
5040000,21,2664
5050000,21,2186
5060000,21,2212
5070000,21,2197
5080000,21,2653
5090000,21,2243
5100000,21,2208
5110000,21,2297
5120000,21,2376
5130000,21,2252
5140000,21,2247
5150000,21,2500
5160000,21,2214
5170000,21,2421
5180000,21,2244
5190000,21,2495
5200000,21,2259
5210000,21,2307
5220000,21,2677
5230000,21,2994
5240000,21,2431
5250000,21,2546
5260000,21,2619
5270000,21,2267
5280000,21,2230
5290000,21,2231
5300000,21,2278
5310000,21,2374
5320000,21,2302
5330000,21,2254
5340000,21,2414
5350000,21,2431
5360000,21,2555
5370000,21,2680
5380000,21,2843
5390000,21,2360
5400000,21,2779
5410000,21,2527
5420000,21,2233
5430000,21,2393
5440000,21,2270
5450000,21,2403
5460000,21,2597
5470000,21,2278
5480000,21,2567
5490000,21,2512
5500000,21,2255
5510000,21,2011
5520000,21,2459
5530000,21,2187
5540000,21,2468
5550000,21,2423
5560000,21,2343
5570000,21,2476
5580000,21,2326
5590000,21,3236
5600000,21,2307
5610000,21,2441
5620000,21,2434
5630000,21,2389
5640000,21,2367
5650000,21,2512
5660000,21,2491
5670000,21,2275
5680000,21,2373
5690000,21,2393
5700000,21,2814
5710000,21,2382
5720000,21,2711
5730000,21,2318
5740000,21,3242
5750000,21,2287
5760000,21,2299
5770000,21,2546
5780000,21,2416
5790000,21,2284
5800000,21,2695
5810000,21,2261
5820000,21,2231
5830000,21,2768
5840000,21,2354
5850000,21,2325
5860000,21,2394
5870000,21,2426
5880000,21,2508
5890000,21,2573
5900000,21,2380
5910000,21,2257
5920000,21,3305
5930000,21,2854
5940000,21,2401
5950000,21,3487
5960000,21,2722
5970000,21,2528
5980000,21,3273
5990000,21,2309
6000000,21,2356
6010000,21,2282
6020000,21,2758
6030000,21,2472
6040000,21,2594
6050000,21,2304
6060000,21,2358
6070000,21,2354
6080000,21,2622
6090000,21,2745
6100000,21,2579
6110000,21,2322
6120000,21,2487
6130000,21,2327
6140000,21,2675
6150000,21,2389
6160000,21,2159
6170000,21,2333
6180000,21,2477
6190000,21,2283
6200000,21,2568
6210000,21,2596
6220000,21,2526
6230000,21,2509
6240000,21,4233
6250000,21,2522
6260000,21,2421
6270000,21,2821
6280000,21,2505
6290000,21,2562
6300000,21,2511
6310000,21,2785
6320000,21,2806
6330000,21,2511
6340000,21,2695
6350000,21,2737
6360000,21,3062
6370000,21,2616
6380000,21,2709
6390000,21,2936
6400000,21,2824
6410000,21,2456
