n,comparisons,time_ns
5760000,21,1076
5770000,21,1179
5780000,21,1045
5790000,21,1058
5800000,21,1013
5810000,21,1294
5820000,21,1200
5830000,21,1272
5840000,21,1094
5850000,21,1095
5860000,21,1313
5870000,21,1035
5880000,21,1031
5890000,21,1041
5900000,21,1033
5910000,21,1029
5920000,21,1079
5930000,21,1197
5940000,21,1028
5950000,21,1119
5960000,21,1770
5970000,21,1009
5980000,21,1070
5990000,21,1151
6000000,21,1348
6010000,21,1023
6020000,21,1088
6030000,21,1213
6040000,21,1191
6050000,21,1097
6060000,21,1041
6070000,21,1175
6080000,21,1055
6090000,21,1026
6100000,21,1139
6110000,21,1025
6120000,21,1122
6130000,21,1051
6140000,21,1065
6150000,21,1083
6160000,21,1170
6170000,21,1187
6180000,21,1073
6190000,21,1139
6200000,21,1093
6210000,21,1064
6220000,21,1049
6230000,21,1081
6240000,21,1073
6250000,21,1036
6260000,21,1303
6270000,21,1780
6280000,21,1495
6290000,21,1244
6300000,21,1620
6310000,21,1444
6320000,21,1144
6330000,21,1471
6340000,21,1246
6350000,21,1469
6360000,21,1939
6370000,21,1708
6380000,21,1962
6390000,21,1706
6400000,21,1771
6410000,21,1291
6420000,21,1958
6430000,21,1542
6440000,21,1578
6450000,21,1523
6460000,21,1497
6470000,21,1481
6480000,21,1487
6490000,21,1167
6500000,21,1181
6510000,21,1508
6520000,21,1320
6530000,21,1475
6540000,21,1524
6550000,21,1575
6560000,21,1127
6570000,21,1573
6580000,21,1145
6590000,21,1039
6600000,21,1207
6610000,21,1258
6620000,21,1108
6630000,21,1117
6640000,21,1598
6650000,21,1136
6660000,21,1214
6670000,21,2810
6680000,21,1978
6690000,21,1858
6700000,21,1454
6710000,21,1137
6720000,21,1058
6730000,21,2008
6740000,21,1383
6750000,21,1185
6760000,21,1155
6770000,21,1283
6780000,21,1378
6790000,21,1142
6800000,21,1448
6810000,21,1171
6820000,21,1079
6830000,21,1138
6840000,21,1092
6850000,21,1218
6860000,21,1149
6870000,21,1271
6880000,21,1366
6890000,21,1249
6900000,21,1221
6910000,21,1167
6920000,21,1092
6930000,21,1143
6940000,21,1119
6950000,21,1070
6960000,21,1103
6970000,21,1176
6980000,21,1661
6990000,21,1110
7000000,21,1109
