arquivo,metrica,modelo,equacao,derivada,n_final,taxa_variacao_final,r2_ajustado,rmse
heapsort_near_descending_pct.csv,time_ns,O(n log n),y = 7.906812e+00nln(n) + 6717.107511,101.45127646653945,137430,101.45127646653945,0.9834137520573203,341993.732044341
heapsort_random.csv,comparisons,O(n log n),y = 2.620861e+00nln(n) + -2522.748349,33.62792820863922,137430,33.62792820863922,0.9999829717269172,3602.6076413902047
heapsort_random.csv,copies,O(n log n),y = 2.733821e+00nln(n) + -1410.835075,35.077298961887976,137430,35.077298961887976,0.9999950122796559,2033.790343393127
heapsort_random.csv,time_ns,O(n log n),y = 9.562552e+00nln(n) + 1505.358509,122.69586556258689,137430,122.69586556258689,0.9906924410315547,308720.5441019736
insertionsort_ascending.csv,comparisons,O(n),y = 1.000000n + -1.000000,1.0,137430,1.0,1.0,0.0
insertionsort_ascending.csv,copies,O(n),y = 1.000000n + -1.000000,1.0,137430,1.0,1.0,0.0
insertionsort_ascending.csv,time_ns,O(n²),y = -1.853922e-06n² + 2.470983n + 1067.842414,1.9614143919535614,137430,1.9614143919535614,0.984206027809865,8317.393743393188
insertionsort_descending.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
insertionsort_descending.csv,copies,O(n²),y = 5.000000e-01n² + 0.499992n + -0.805387,137430.50000724065,137430,137430.50000724065,1.0,0.16143160571487813
insertionsort_descending.csv,time_ns,O(n²),y = 4.148332e-01n² + -10620.054144n + 31743319.740194,103400.98639766352,137430,103400.98639766352,0.9568698877550043,213646815.48693174
insertionsort_near_ascending_pct.csv,comparisons,O(n²),y = 1.337449e-01n² + -15.423924n + 59513.397720,36745.69293739673,137430,36745.69293739673,0.9999808984020834,1816981.5712379992
insertionsort_near_ascending_pct.csv,copies,O(n²),y = 1.337448e-01n² + -15.417582n + 59456.564104,36745.684644414156,137430,36745.684644414156,0.9999808984067895,1816981.3471414663
insertionsort_near_ascending_pct.csv,time_ns,O(n²),y = 7.609568e-02n² + -329.674565n + 962988.706842,20585.984382590665,137430,20585.984382590665,0.9984575388621925,8954569.124461701
insertionsort_near_descending_pct.csv,comparisons,O(n²),y = 3.665281e-01n² + -9.539426n + 56857.961272,100734.37777023761,137430,100734.37777023761,0.999998757314196,1271047.4818506204
insertionsort_near_descending_pct.csv,copies,O(n²),y = 3.665281e-01n² + -9.539774n + 56809.988655,100734.38083583233,137430,100734.38083583233,0.9999987573144788,1271047.3382547456
insertionsort_near_descending_pct.csv,time_ns,O(n²),y = 1.886138e-01n² + 1086.281253n + -1678946.780825,52928.66162341944,137430,52928.66162341944,0.9982713191491005,25653763.817156065
insertionsort_random.csv,comparisons,O(n²),y = 2.508194e-01n² + -64.116245n + 176498.486804,68876.09919718103,137430,68876.09919718103,0.9999963808198369,1481386.0358171603
insertionsort_random.csv,copies,O(n²),y = 2.508194e-01n² + -64.115556n + 176498.383128,68876.0984897735,137430,68876.0984897735,0.9999963808201489,1481385.9751509645
insertionsort_random.csv,time_ns,O(n²),y = 1.647162e-01n² + -1800.276861n + 4414023.993634,43473.614876573825,137430,43473.614876573825,0.97013210519315,81356455.87494488
mergesort_ascending.csv,comparisons,O(n log n),y = 7.370244e-01nln(n) + 347.186236,9.45666444235537,137430,9.45666444235537,0.9999040850509737,2404.52594901876
mergesort_ascending.csv,copies,O(n log n),y = 2.893778e+00nln(n) + 238.384533,37.12969510924019,137430,37.12969510924019,0.9999967034290743,1750.1739865443528
mergesort_ascending.csv,time_ns,O(n log n),y = 3.029248e+00nln(n) + 7516.802151,38.867882486279946,137430,38.867882486279946,0.987460359568634,113696.31055960746
mergesort_descending.csv,comparisons,O(n log n),y = 7.098648e-01nln(n) + -227.994177,9.108183149562294,137430,9.108183149562294,0.9999572443594591,1546.1993604896359
mergesort_descending.csv,copies,O(n log n),y = 2.893778e+00nln(n) + 238.384533,37.12969510924019,137430,37.12969510924019,0.9999967034290743,1750.1739865443528
mergesort_descending.csv,time_ns,O(n log n),y = 3.108163e+00nln(n) + -2990.770153,39.880435254648475,137430,39.880435254648475,0.9529566052524113,229925.052719958
mergesort_near_ascending_pct.csv,comparisons,O(n log n),y = 1.322462e+00nln(n) + -1077.927826,16.96834412461631,137430,16.96834412461631,0.9999859954881755,1648.5584826316758
mergesort_near_ascending_pct.csv,copies,O(n log n),y = 2.893778e+00nln(n) + 238.384533,37.12969510924019,137430,37.12969510924019,0.9999967034290743,1750.1739865443528
mergesort_near_ascending_pct.csv,time_ns,O(n log n),y = 5.981873e+00nln(n) + 20440.072504,76.75263786094615,137430,76.75263786094615,0.9927331421893687,170469.43470388482
mergesort_near_descending_pct.csv,comparisons,O(n log n),y = 1.314386e+00nln(n) + -1290.865688,16.864713013052494,137430,16.864713013052494,0.9999802806484721,1944.2736656726365
mergesort_near_descending_pct.csv,copies,O(n log n),y = 2.893778e+00nln(n) + 238.384533,37.12969510924019,137430,37.12969510924019,0.9999967034290743,1750.1739865443528
mergesort_near_descending_pct.csv,time_ns,O(n log n),y = 6.100844e+00nln(n) + 25711.149601,78.27913238487099,137430,78.27913238487099,0.9864733282649483,237939.85400210912
mergesort_random.csv,comparisons,O(n log n),y = 1.334248e+00nln(n) + -1036.695368,17.119561303224437,137430,17.119561303224437,0.9999888447138396,1484.442195467434
mergesort_random.csv,copies,O(n log n),y = 2.893778e+00nln(n) + 238.384533,37.12969510924019,137430,37.12969510924019,0.9999967034290743,1750.1739865443528
mergesort_random.csv,time_ns,O(n log n),y = 8.337428e+00nln(n) + 24133.436055,106.97646004203969,137430,106.97646004203969,0.9971412247674453,148701.50647494546
quicksort_ascending.csv,comparisons,O(n²),y = 5.000000e-01n² + 0.500000n + -1.000000,15347.499999999993,15347,15347.499999999993,1.0,6.4195415286239134e-09
quicksort_ascending.csv,copies,O(n),y = 2.000000n + -2.000000,2.0,15347,2.0,1.0,1.2897616639834804e-14
quicksort_ascending.csv,time_ns,O(n²),y = 2.245916e-01n² + 52.676139n + 41708.672574,6946.290209322091,15347,6946.290209322091,0.9888189285705304,1049852.3909443237
quicksort_descending.csv,comparisons,O(n²),y = 5.000000e-01n² + 0.500000n + -1.000000,15347.499999999993,15347,15347.499999999993,1.0,6.4195415286239134e-09
quicksort_descending.csv,copies,O(n),y = 2.000000n + -2.000000,2.0,15347,2.0,1.0,1.2897616639834804e-14
quicksort_descending.csv,time_ns,O(n²),y = 1.977487e-01n² + 109.856912n + -7279.874263,6179.556842108198,15347,6179.556842108198,0.9966876324442543,513363.35063191125
quicksort_near_ascending_pct.csv,comparisons,O(n²),y = 6.876312e-05n² + 30.483008n + -11302.226068,49.383239231282104,137430,49.383239231282104,0.9951270851688102,75676.5267343285
quicksort_near_ascending_pct.csv,copies,O(n log n),y = 3.740219e-01nln(n) + 760.252713,4.799026655063141,137430,4.799026655063141,0.9998880397143071,1318.3687908198547
quicksort_near_ascending_pct.csv,time_ns,O(n²),y = 1.875999e-04n² + 41.068994n + 15303.975202,92.63269553754816,137430,92.63269553754816,0.984389656095058,219534.57004161857
quicksort_near_descending_pct.csv,comparisons,O(n²),y = 5.210820e-05n² + 26.147512n + -6816.724543,40.469972795835844,137430,40.469972795835844,0.9880860502316274,99587.96724484049
quicksort_near_descending_pct.csv,copies,O(n log n),y = 6.457612e-01nln(n) + -369.997510,8.285677524384646,137430,8.285677524384646,0.999624628026666,4168.374891386272
quicksort_near_descending_pct.csv,time_ns,O(n²),y = 2.357779e-04n² + 51.456648n + 22095.655576,116.2625577824901,137430,116.2625577824901,0.9884095707652125,236785.27836590845
